"","sample.no","year","date","sanctuary","status","site.new","complexity","algal.cover","size.class","count"
"195",195,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",2,1,"legal",0
"196",196,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",3,2,"legal",0
"197",197,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",2,1,"legal",0
"198",198,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",2,2,"legal",0
"199",199,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",2,3,"legal",0
"200",200,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",4,3,"legal",0
"201",201,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",4,3,"legal",0
"202",202,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",2,3,"legal",0
"203",203,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",3,2,"legal",0
"204",204,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",3,2,"legal",0
"205",205,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",3,3,"legal",0
"206",206,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",4,2,"legal",0
"207",207,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",3,2,"legal",1
"208",208,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",4,1,"legal",0
"209",209,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",3,3,"legal",0
"210",210,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",4,1,"legal",0
"211",211,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",3,1,"legal",0
"212",212,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",2,2,"legal",0
"213",213,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",2,2,"legal",0
"214",214,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",0,4,"legal",0
"215",215,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",3,1,"legal",1
"216",216,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",1,2,"legal",0
"217",217,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",4,2,"legal",0
"218",218,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",4,2,"legal",0
"219",219,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",4,2,"legal",1
"220",220,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",4,1,"legal",0
"221",221,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",2,4,"legal",0
"222",222,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",2,4,"legal",0
"223",223,2014,2014-01-24,"Parker Point","Fished","Parker Point.Fished",1,4,"legal",0
"224",224,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",2,1,"legal",0
"225",225,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",2,1,"legal",0
"226",226,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",2,1,"legal",0
"227",227,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",1,1,"legal",0
"228",228,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",4,2,"legal",2
"229",229,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",2,1,"legal",0
"230",230,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",3,1,"legal",0
"231",231,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",1,1,"legal",1
"232",232,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",2,1,"legal",0
"233",233,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",2,1,"legal",0
"234",234,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",1,1,"legal",0
"235",235,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",4,2,"legal",2
"236",236,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",2,1,"legal",0
"237",237,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",3,1,"legal",0
"238",238,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",1,1,"legal",1
"239",239,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",1,3,"legal",0
"240",240,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",4,2,"legal",0
"241",241,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",3,1,"legal",1
"242",242,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",2,1,"legal",1
"243",243,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",2,1,"legal",0
"244",244,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",1,1,"legal",0
"245",245,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",1,1,"legal",0
"246",246,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",4,1,"legal",1
"247",247,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",2,1,"legal",3
"248",248,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",3,1,"legal",2
"249",249,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",1,1,"legal",0
"250",250,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",1,1,"legal",0
"251",251,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",1,1,"legal",0
"252",252,2014,2014-01-27,"Parker Point","No-take","Salmon Bay.No-take",1,3,"legal",12
"253",253,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",2,1,"legal",2
"254",254,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",1,2,"legal",0
"255",255,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",2,3,"legal",0
"256",256,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",2,3,"legal",0
"257",257,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",2,3,"legal",0
"258",258,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",2,0,"legal",0
"259",259,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",4,0,"legal",16
"260",260,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",2,3,"legal",0
"261",261,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",2,1,"legal",4
"262",262,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",2,3,"legal",0
"263",263,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",3,3,"legal",3
"264",264,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",3,3,"legal",0
"265",265,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",2,3,"legal",0
"266",266,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",3,3,"legal",0
"267",267,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",2,3,"legal",0
"268",268,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",3,3,"legal",10
"269",269,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",2,0,"legal",0
"270",270,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",2,0,"legal",0
"271",271,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",2,0,"legal",0
"272",272,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",2,3,"legal",3
"273",273,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",2,1,"legal",0
"274",274,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",1,2,"legal",1
"275",275,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",2,3,"legal",0
"276",276,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",2,1,"legal",0
"277",277,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",4,1,"legal",2
"278",278,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",2,3,"legal",0
"279",279,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",2,1,"legal",0
"280",280,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",2,1,"legal",1
"281",281,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",2,1,"legal",0
"282",282,2014,2014-01-27,"Green Island","No-take","Green Island.No-take",1,2,"legal",0
"283",283,2014,2014-01-27,"Green Island","No-take","Mary Cove.No-take",3,0,"legal",2
"284",284,2014,2014-01-27,"Green Island","No-take","Mary Cove.No-take",3,0,"legal",6
"285",285,2014,2014-01-27,"Green Island","No-take","Mary Cove.No-take",1,1,"legal",0
"286",286,2014,2014-01-27,"Green Island","No-take","Mary Cove.No-take",2,3,"legal",1
"287",287,2014,2014-01-27,"Green Island","No-take","Mary Cove.No-take",4,3,"legal",0
"288",288,2014,2014-01-27,"Green Island","No-take","Mary Cove.No-take",1,3,"legal",0
"289",289,2014,2014-01-27,"Green Island","No-take","Mary Cove.No-take",3,3,"legal",5
