"transect.id","M","F","J","school.count","","sanctuary","status","group.id"
"Fished.Armstrong.Ricey_Beach.ST.4",2,6,0,4,NA,"Armstrong","Fished","Fished.Armstrong.Ricey_Beach.ST"
"Fished.Armstrong.Ricey_Beach.ST.5",1,0,0,1,NA,"Armstrong","Fished","Fished.Armstrong.Ricey_Beach.ST"
"No-take.Armstrong.Little_Armstrong_Bay_East.AAE.1",0,5,1,2,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_East.AAE"
"No-take.Armstrong.Little_Armstrong_Bay_East.AAE.2",1,9,0,2,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_East.AAE"
"No-take.Armstrong.Little_Armstrong_Bay_East.AAE.3",1,8,0,2,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_East.AAE"
"No-take.Armstrong.Little_Armstrong_Bay_East.AAE.4",0,2,0,1,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_East.AAE"
"No-take.Armstrong.Little_Armstrong_Bay_East.AAE.5",0,2,0,1,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_East.AAE"
"No-take.Armstrong.Little_Armstrong_Bay_East.AAE2.1",0,100,0,1,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_East.AAE2"
"No-take.Armstrong.Little_Armstrong_Bay_East.AAE2.2",0,50,0,1,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_East.AAE2"
"No-take.Armstrong.Little_Armstrong_Bay_East.AAE2.3",0,1,0,1,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_East.AAE2"
"No-take.Armstrong.Little_Armstrong_Bay_East.AAE2.4",1,8,0,2,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_East.AAE2"
"No-take.Armstrong.Little_Armstrong_Bay_East.AAE2.5",0,0,0,0,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_East.AAE2"
"No-take.Armstrong.Little_Armstrong_Bay_East.THJ.1",1,6,0,2,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_East.THJ"
"No-take.Armstrong.Little_Armstrong_Bay_East.THJ.2",0,3,1,2,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_East.THJ"
"No-take.Armstrong.Little_Armstrong_Bay_East.THJ.3",0,8,1,2,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_East.THJ"
"No-take.Armstrong.Little_Armstrong_Bay_East.THJ.4",0,4,0,2,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_East.THJ"
"No-take.Armstrong.Little_Armstrong_Bay_East.THJ.5",0,10,0,2,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_East.THJ"
"No-take.Armstrong.Little_Armstrong_Bay_West.HA1.1",0,2,0,2,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_West.HA1"
"No-take.Armstrong.Little_Armstrong_Bay_West.HA1.2",0,1,0,1,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_West.HA1"
"No-take.Armstrong.Little_Armstrong_Bay_West.HA1.3",0,5,0,4,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_West.HA1"
"No-take.Armstrong.Little_Armstrong_Bay_West.HA1.4",0,13,0,5,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_West.HA1"
"No-take.Armstrong.Little_Armstrong_Bay_West.HA1.5",0,0,0,0,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_West.HA1"
"No-take.Armstrong.Little_Armstrong_Bay_West.HA2.1",0,4,0,1,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_West.HA2"
"No-take.Armstrong.Little_Armstrong_Bay_West.HA2.2",0,4,0,1,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_West.HA2"
"No-take.Armstrong.Little_Armstrong_Bay_West.HA2.3",0,0,0,0,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_West.HA2"
"No-take.Armstrong.Little_Armstrong_Bay_West.HA2.4",0,2,0,1,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_West.HA2"
"No-take.Armstrong.Little_Armstrong_Bay_West.HA2.5",0,0,0,0,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_West.HA2"
"No-take.Armstrong.Little_Armstrong_Bay_West.THJ.1",0,0,0,0,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_West.THJ"
"No-take.Armstrong.Little_Armstrong_Bay_West.THJ.2",1,0,0,1,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_West.THJ"
"No-take.Armstrong.Little_Armstrong_Bay_West.THJ.3",1,0,0,1,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_West.THJ"
"No-take.Armstrong.Little_Armstrong_Bay_West.THJ.4",0,2,0,1,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_West.THJ"
"No-take.Armstrong.Little_Armstrong_Bay_West.THJ.5",1,5,0,2,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_West.THJ"
"Fished.Green_Island.East_Strickland.AT.1",0,1,0,1,NA,"Green_Island","Fished","Fished.Green_Island.East_Strickland.AT"
"Fished.Green_Island.East_Strickland.AT.2",0,1,0,1,NA,"Green_Island","Fished","Fished.Green_Island.East_Strickland.AT"
"Fished.Green_Island.East_Strickland.AT.3",1,1,0,2,NA,"Green_Island","Fished","Fished.Green_Island.East_Strickland.AT"
"Fished.Green_Island.East_Strickland.AT.4",0,1,0,1,NA,"Green_Island","Fished","Fished.Green_Island.East_Strickland.AT"
"Fished.Green_Island.East_Strickland.AT.5",0,6,0,2,NA,"Green_Island","Fished","Fished.Green_Island.East_Strickland.AT"
"Fished.Green_Island.East_Strickland.EPJ.1",0,4,0,3,NA,"Green_Island","Fished","Fished.Green_Island.East_Strickland.EPJ"
"Fished.Green_Island.East_Strickland.EPJ.2",0,2,0,2,NA,"Green_Island","Fished","Fished.Green_Island.East_Strickland.EPJ"
"Fished.Green_Island.East_Strickland.EPJ.3",0,2,0,1,NA,"Green_Island","Fished","Fished.Green_Island.East_Strickland.EPJ"
"Fished.Green_Island.East_Strickland.EPJ.4",0,8,0,2,NA,"Green_Island","Fished","Fished.Green_Island.East_Strickland.EPJ"
"Fished.Green_Island.East_Strickland.EPJ.5",1,2,0,1,NA,"Green_Island","Fished","Fished.Green_Island.East_Strickland.EPJ"
"Fished.Green_Island.East_Strickland.ST.1",0,15,0,1,NA,"Green_Island","Fished","Fished.Green_Island.East_Strickland.ST"
"Fished.Green_Island.East_Strickland.ST.2",1,1,0,2,NA,"Green_Island","Fished","Fished.Green_Island.East_Strickland.ST"
"Fished.Green_Island.East_Strickland.ST.3",0,4,0,2,NA,"Green_Island","Fished","Fished.Green_Island.East_Strickland.ST"
"Fished.Green_Island.East_Strickland.ST.4",0,2,0,2,NA,"Green_Island","Fished","Fished.Green_Island.East_Strickland.ST"
"Fished.Green_Island.East_Strickland.ST.5",0,9,0,2,NA,"Green_Island","Fished","Fished.Green_Island.East_Strickland.ST"
"Fished.Green_Island.Strickland_West.BS.1",1,0,0,1,NA,"Green_Island","Fished","Fished.Green_Island.Strickland_West.BS"
"Fished.Green_Island.Strickland_West.BS.2",0,0,0,0,NA,"Green_Island","Fished","Fished.Green_Island.Strickland_West.BS"
"Fished.Green_Island.Strickland_West.BS.3",0,0,0,0,NA,"Green_Island","Fished","Fished.Green_Island.Strickland_West.BS"
"Fished.Green_Island.Strickland_West.BS.4",0,4,0,2,NA,"Green_Island","Fished","Fished.Green_Island.Strickland_West.BS"
"Fished.Green_Island.Strickland_West.BS.5",0,8,0,3,NA,"Green_Island","Fished","Fished.Green_Island.Strickland_West.BS"
"Fished.Green_Island.Strickland_West.LC.1",0,0,0,0,NA,"Green_Island","Fished","Fished.Green_Island.Strickland_West.LC"
"Fished.Green_Island.Strickland_West.LC.2",0,0,0,0,NA,"Green_Island","Fished","Fished.Green_Island.Strickland_West.LC"
"Fished.Green_Island.Strickland_West.LC.3",2,130,0,4,NA,"Green_Island","Fished","Fished.Green_Island.Strickland_West.LC"
"Fished.Green_Island.Strickland_West.LC.4",0,2,0,1,NA,"Green_Island","Fished","Fished.Green_Island.Strickland_West.LC"
"Fished.Green_Island.Strickland_West.LC.5",3,5,0,4,NA,"Green_Island","Fished","Fished.Green_Island.Strickland_West.LC"
"Fished.Green_Island.Strickland_West.SR.1",0,6,0,2,NA,"Green_Island","Fished","Fished.Green_Island.Strickland_West.SR"
"Fished.Green_Island.Strickland_West.SR.2",0,1,0,1,NA,"Green_Island","Fished","Fished.Green_Island.Strickland_West.SR"
"Fished.Green_Island.Strickland_West.SR.3",0,0,0,0,NA,"Green_Island","Fished","Fished.Green_Island.Strickland_West.SR"
"Fished.Green_Island.Strickland_West.SR.4",0,6,0,2,NA,"Green_Island","Fished","Fished.Green_Island.Strickland_West.SR"
"Fished.Green_Island.Strickland_West.SR.5",0,0,0,0,NA,"Green_Island","Fished","Fished.Green_Island.Strickland_West.SR"
"No-take.Green_Island.Green_Island.AT.1",0,6,0,3,NA,"Green_Island","No-take","No-take.Green_Island.Green_Island.AT"
"No-take.Green_Island.Green_Island.AT.2",1,2,0,3,NA,"Green_Island","No-take","No-take.Green_Island.Green_Island.AT"
"No-take.Green_Island.Green_Island.AT.3",2,14,0,4,NA,"Green_Island","No-take","No-take.Green_Island.Green_Island.AT"
"No-take.Green_Island.Green_Island.AT.4",1,1,0,2,NA,"Green_Island","No-take","No-take.Green_Island.Green_Island.AT"
"No-take.Green_Island.Green_Island.AT.5",1,5,0,3,NA,"Green_Island","No-take","No-take.Green_Island.Green_Island.AT"
"No-take.Green_Island.Green_Island.EPJ.1",0,8,0,6,NA,"Green_Island","No-take","No-take.Green_Island.Green_Island.EPJ"
"No-take.Green_Island.Green_Island.EPJ.2",0,5,0,2,NA,"Green_Island","No-take","No-take.Green_Island.Green_Island.EPJ"
"No-take.Green_Island.Green_Island.EPJ.3",0,4,0,3,NA,"Green_Island","No-take","No-take.Green_Island.Green_Island.EPJ"
"No-take.Green_Island.Green_Island.EPJ.4",0,10,1,3,NA,"Green_Island","No-take","No-take.Green_Island.Green_Island.EPJ"
"No-take.Green_Island.Green_Island.EPJ.5",0,4,1,3,NA,"Green_Island","No-take","No-take.Green_Island.Green_Island.EPJ"
"No-take.Green_Island.Green_Island.ST.1",1,3,0,4,NA,"Green_Island","No-take","No-take.Green_Island.Green_Island.ST"
"No-take.Green_Island.Green_Island.ST.2",0,0,0,0,NA,"Green_Island","No-take","No-take.Green_Island.Green_Island.ST"
"No-take.Green_Island.Green_Island.ST.3",0,1,0,1,NA,"Green_Island","No-take","No-take.Green_Island.Green_Island.ST"
"No-take.Green_Island.Green_Island.ST.4",0,15,0,1,NA,"Green_Island","No-take","No-take.Green_Island.Green_Island.ST"
"No-take.Green_Island.Green_Island.ST.5",1,4,0,1,NA,"Green_Island","No-take","No-take.Green_Island.Green_Island.ST"
"No-take.Green_Island.Mary_Cove.BS.1",12,4,0,6,NA,"Green_Island","No-take","No-take.Green_Island.Mary_Cove.BS"
"No-take.Green_Island.Mary_Cove.BS.2",0,6,2,3,NA,"Green_Island","No-take","No-take.Green_Island.Mary_Cove.BS"
"No-take.Green_Island.Mary_Cove.BS.3",9,1,0,5,NA,"Green_Island","No-take","No-take.Green_Island.Mary_Cove.BS"
"No-take.Green_Island.Mary_Cove.BS.4",3,9,0,7,NA,"Green_Island","No-take","No-take.Green_Island.Mary_Cove.BS"
"No-take.Green_Island.Mary_Cove.BS.5",5,11,1,8,NA,"Green_Island","No-take","No-take.Green_Island.Mary_Cove.BS"
"No-take.Green_Island.Mary_Cove.LC.1",2,2,0,3,NA,"Green_Island","No-take","No-take.Green_Island.Mary_Cove.LC"
"No-take.Green_Island.Mary_Cove.LC.2",0,4,0,2,NA,"Green_Island","No-take","No-take.Green_Island.Mary_Cove.LC"
"No-take.Green_Island.Mary_Cove.LC.3",0,4,0,4,NA,"Green_Island","No-take","No-take.Green_Island.Mary_Cove.LC"
"No-take.Green_Island.Mary_Cove.LC.4",0,9,0,4,NA,"Green_Island","No-take","No-take.Green_Island.Mary_Cove.LC"
"No-take.Green_Island.Mary_Cove.LC.5",2,17,0,4,NA,"Green_Island","No-take","No-take.Green_Island.Mary_Cove.LC"
"No-take.Green_Island.Mary_Cove.SRJ.1",0,4,0,2,NA,"Green_Island","No-take","No-take.Green_Island.Mary_Cove.SRJ"
"No-take.Green_Island.Mary_Cove.SRJ.2",0,1,0,1,NA,"Green_Island","No-take","No-take.Green_Island.Mary_Cove.SRJ"
"No-take.Green_Island.Mary_Cove.SRJ.3",0,0,0,0,NA,"Green_Island","No-take","No-take.Green_Island.Mary_Cove.SRJ"
"No-take.Green_Island.Mary_Cove.SRJ.4",0,8,0,1,NA,"Green_Island","No-take","No-take.Green_Island.Mary_Cove.SRJ"
"No-take.Green_Island.Mary_Cove.SRJ.5",1,14,0,3,NA,"Green_Island","No-take","No-take.Green_Island.Mary_Cove.SRJ"
"Fished.Parker_Pt.East_Salmon_Bay.LB.1",0,1,0,1,NA,"Parker_Pt","Fished","Fished.Parker_Pt.East_Salmon_Bay.LB"
"Fished.Parker_Pt.East_Salmon_Bay.LB.2",1,1,0,1,NA,"Parker_Pt","Fished","Fished.Parker_Pt.East_Salmon_Bay.LB"
"Fished.Parker_Pt.East_Salmon_Bay.LB.3",0,0,0,0,NA,"Parker_Pt","Fished","Fished.Parker_Pt.East_Salmon_Bay.LB"
"Fished.Parker_Pt.East_Salmon_Bay.LB.4",0,0,0,0,NA,"Parker_Pt","Fished","Fished.Parker_Pt.East_Salmon_Bay.LB"
"Fished.Parker_Pt.East_Salmon_Bay.LB.5",0,0,0,0,NA,"Parker_Pt","Fished","Fished.Parker_Pt.East_Salmon_Bay.LB"
"Fished.Parker_Pt.East_Salmon_Bay.SC.1",1,0,0,1,NA,"Parker_Pt","Fished","Fished.Parker_Pt.East_Salmon_Bay.SC"
"Fished.Parker_Pt.East_Salmon_Bay.SC.2",5,16,0,8,NA,"Parker_Pt","Fished","Fished.Parker_Pt.East_Salmon_Bay.SC"
"Fished.Parker_Pt.East_Salmon_Bay.SC.3",1,0,1,2,NA,"Parker_Pt","Fished","Fished.Parker_Pt.East_Salmon_Bay.SC"
"Fished.Parker_Pt.East_Salmon_Bay.SC.4",2,1,0,1,NA,"Parker_Pt","Fished","Fished.Parker_Pt.East_Salmon_Bay.SC"
"Fished.Parker_Pt.East_Salmon_Bay.SC.5",1,0,0,1,NA,"Parker_Pt","Fished","Fished.Parker_Pt.East_Salmon_Bay.SC"
"Fished.Parker_Pt.East_Salmon_Bay.SRJ.1",1,20,0,2,NA,"Parker_Pt","Fished","Fished.Parker_Pt.East_Salmon_Bay.SRJ"
"Fished.Parker_Pt.East_Salmon_Bay.SRJ.2",0,0,0,0,NA,"Parker_Pt","Fished","Fished.Parker_Pt.East_Salmon_Bay.SRJ"
"Fished.Parker_Pt.East_Salmon_Bay.SRJ.3",0,1,0,1,NA,"Parker_Pt","Fished","Fished.Parker_Pt.East_Salmon_Bay.SRJ"
"Fished.Parker_Pt.East_Salmon_Bay.SRJ.4",1,1,0,2,NA,"Parker_Pt","Fished","Fished.Parker_Pt.East_Salmon_Bay.SRJ"
"Fished.Parker_Pt.East_Salmon_Bay.SRJ.5",0,0,0,0,NA,"Parker_Pt","Fished","Fished.Parker_Pt.East_Salmon_Bay.SRJ"
"Fished.Parker_Pt.Parker_Point.BS.1",4,1,0,2,NA,"Parker_Pt","Fished","Fished.Parker_Pt.Parker_Point.BS"
"Fished.Parker_Pt.Parker_Point.BS.2",2,1,0,2,NA,"Parker_Pt","Fished","Fished.Parker_Pt.Parker_Point.BS"
"Fished.Parker_Pt.Parker_Point.BS.3",2,1,0,3,NA,"Parker_Pt","Fished","Fished.Parker_Pt.Parker_Point.BS"
