sanctuary,status,group.id,transect.id,metric,count,sample.no
Parker_Pt,Fished,Fished.Parker_Pt.Parker_Point.LC,Fished.Parker_Pt.Parker_Point.LC.1,F,0,185
Parker_Pt,Fished,Fished.Parker_Pt.Parker_Point.LC,Fished.Parker_Pt.Parker_Point.LC.2,F,0,186
Parker_Pt,Fished,Fished.Parker_Pt.Parker_Point.LC,Fished.Parker_Pt.Parker_Point.LC.3,F,4,187
Parker_Pt,Fished,Fished.Parker_Pt.Parker_Point.LC,Fished.Parker_Pt.Parker_Point.LC.4,F,7,188
Parker_Pt,Fished,Fished.Parker_Pt.Parker_Point.LC,Fished.Parker_Pt.Parker_Point.LC.5,F,12,189
Parker_Pt,Fished,Fished.Parker_Pt.Parker_Point.SRJ,Fished.Parker_Pt.Parker_Point.SRJ.1,F,57,190
Parker_Pt,Fished,Fished.Parker_Pt.Parker_Point.SRJ,Fished.Parker_Pt.Parker_Point.SRJ.2,F,0,191
Parker_Pt,Fished,Fished.Parker_Pt.Parker_Point.SRJ,Fished.Parker_Pt.Parker_Point.SRJ.3,F,0,192
Parker_Pt,Fished,Fished.Parker_Pt.Parker_Point.SRJ,Fished.Parker_Pt.Parker_Point.SRJ.4,F,0,193
Parker_Pt,Fished,Fished.Parker_Pt.Parker_Point.SRJ,Fished.Parker_Pt.Parker_Point.SRJ.5,F,0,194
Parker_Pt,No-take,No-take.Parker_Pt.East_Salmon.EP,No-take.Parker_Pt.East_Salmon.EP.1,F,3,195
Parker_Pt,No-take,No-take.Parker_Pt.East_Salmon.EP,No-take.Parker_Pt.East_Salmon.EP.2,F,6,196
Parker_Pt,No-take,No-take.Parker_Pt.East_Salmon.EP,No-take.Parker_Pt.East_Salmon.EP.3,F,6,197
Parker_Pt,No-take,No-take.Parker_Pt.East_Salmon.EP,No-take.Parker_Pt.East_Salmon.EP.4,F,7,198
Parker_Pt,No-take,No-take.Parker_Pt.East_Salmon.EP,No-take.Parker_Pt.East_Salmon.EP.5,F,13,199
Parker_Pt,No-take,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.1,F,6,200
Parker_Pt,No-take,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.2,F,7,201
Parker_Pt,No-take,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.3,F,4,202
Parker_Pt,No-take,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.4,F,19,203
Parker_Pt,No-take,No-take.Parker_Pt.East_Salmon.JAT,No-take.Parker_Pt.East_Salmon.JAT.5,F,14,204
Parker_Pt,No-take,No-take.Parker_Pt.East_Salmon.ST,No-take.Parker_Pt.East_Salmon.ST.1,F,5,205
Parker_Pt,No-take,No-take.Parker_Pt.East_Salmon.ST,No-take.Parker_Pt.East_Salmon.ST.2,F,4,206
Parker_Pt,No-take,No-take.Parker_Pt.East_Salmon.ST,No-take.Parker_Pt.East_Salmon.ST.3,F,8,207
Parker_Pt,No-take,No-take.Parker_Pt.East_Salmon.ST,No-take.Parker_Pt.East_Salmon.ST.4,F,1,208
Parker_Pt,No-take,No-take.Parker_Pt.East_Salmon.ST,No-take.Parker_Pt.East_Salmon.ST.5,F,12,209
Parker_Pt,No-take,No-take.Parker_Pt.Little Salmon_Bay.AH,No-take.Parker_Pt.Little Salmon_Bay.AH.1,F,32,210
Parker_Pt,No-take,No-take.Parker_Pt.Little Salmon_Bay.AH,No-take.Parker_Pt.Little Salmon_Bay.AH.2,F,9,211
Parker_Pt,No-take,No-take.Parker_Pt.Little Salmon_Bay.AH,No-take.Parker_Pt.Little Salmon_Bay.AH.3,F,5,212
